"EmployeeID";"GivenName";"Surname";"DisplayName";"SourceCompany";"SourceDomain";"SourceUserPrincipalName";"TargetCompany";"TargetDomain";"SamAccountName";"UserPrincipalName";"Department";"Title";"TargetOU";"Groups";"Permissions";"ExpectedGPOs"
"MIG0001";"Alfred";"Cooper";"Alfred Cooper";"OnlyMAGS";"onlymags.local";"employee0001@onlymags.local";"Mags";"mags.local";"alfred.cooper";"alfred.cooper@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0002";"Charlotte";"Wood";"Charlotte Wood";"OnlyMAGS";"onlymags.local";"employee0002@onlymags.local";"Mags";"mags.local";"charlotte.wood";"charlotte.wood@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users|Terminal Server License Servers";"Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0003";"Ruby";"Wood";"Ruby Wood";"OnlyMAGS";"onlymags.local";"employee0003@onlymags.local";"Mags";"mags.local";"ruby.wood";"ruby.wood@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0004";"Emma";"Campbell";"Emma Campbell";"OnlyMAGS";"onlymags.local";"employee0004@onlymags.local";"Mags";"mags.local";"emma.campbell";"emma.campbell@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT";"";""
"MIG0005";"Sophia";"Robinson";"Sophia Robinson";"OnlyMAGS";"onlymags.local";"employee0005@onlymags.local";"Mags";"mags.local";"sophia.robinson";"sophia.robinson@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Users|Terminal Server License Servers";"Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0006";"William";"Jones";"William Jones";"OnlyMAGS";"onlymags.local";"employee0006@onlymags.local";"Mags";"mags.local";"william.jones";"william.jones@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0007";"Joseph";"Green";"Joseph Green";"OnlyMAGS";"onlymags.local";"employee0007@onlymags.local";"Mags";"mags.local";"joseph.green";"joseph.green@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Users|Terminal Server License Servers";"Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0008";"Charlotte";"White";"Charlotte White";"OnlyMAGS";"onlymags.local";"employee0008@onlymags.local";"Mags";"mags.local";"charlotte.white";"charlotte.white@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg";"";""
"MIG0009";"Oliver";"Turner";"Oliver Turner";"OnlyMAGS";"onlymags.local";"employee0009@onlymags.local";"Mags";"mags.local";"oliver.turner";"oliver.turner@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users|Terminal Server License Servers";"Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0010";"Charlotte";"Clark";"Charlotte Clark";"OnlyMAGS";"onlymags.local";"employee0010@onlymags.local";"Mags";"mags.local";"charlotte.clark";"charlotte.clark@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
