"SamAccountName","UserPrincipalName","Status","Details","TargetOU","Groups","ExpectedGPOs","Permissions"
"alfred.cooper","alfred.cooper@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"charlotte.wood","charlotte.wood@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"ruby.wood","ruby.wood@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"emma.campbell","emma.campbell@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"sophia.robinson","sophia.robinson@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"william.jones","william.jones@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"joseph.green","joseph.green@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"charlotte.white","charlotte.white@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"oliver.turner","oliver.turner@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"charlotte.clark","charlotte.clark@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"alfred.morris","alfred.morris@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"thomas.taylor","thomas.taylor@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"andrew.evans","andrew.evans@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"oliver.martin","oliver.martin@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"sarah.walker","sarah.walker@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"charles.jackson","charles.jackson@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
